EDAD_V,NIV,INGRESO,SEXO,REGION
38,8,7000,1,1
36,8,12000,1,6
20,3,3000,1,4
59,3,3500,1,1
37,6,1000,2,4
53,3,500,2,6
40,2,,1,6
24,8,3600,2,2
41,3,,2,2
37,3,3000,1,1
53,2,1800,2,3
37,3,,2,3
20,6,900,1,6
65,2,1080,1,6
46,6,2000,1,5
22,6,1800,1,3
42,3,,2,2
53,2,,2,5
32,3,,2,1
45,2,2600,1,2
46,6,,1,5
23,8,,2,3
50,2,1800,1,3
47,6,400,2,1
64,8,,1,4
60,2,1500,2,3
26,8,600,2,3
50,8,6000,2,2
53,6,900,2,3
39,6,8000,1,6
80,8,,2,4
42,2,900,2,5
67,2,,2,3
32,3,750,2,6
50,5,3200,2,2
45,6,,1,1
22,8,,1,3
32,6,3000,2,1
39,6,2500,2,2
38,7,3000,2,4
73,0,,1,6
25,3,1800,2,5
55,5,1000,2,5
26,8,,2,1
63,0,700,2,5
78,3,,2,6
59,6,3600,1,6
52,3,,2,5
85,0,1000,2,6
30,3,,2,4
40,6,5000,2,6
69,0,,1,5
34,8,5000,2,2
45,8,20000,2,5
53,2,900,2,3
70,2,,2,2
56,2,,2,5
48,8,20000,1,4
37,10,50000,1,1
62,6,1200,1,5
44,3,,1,1
45,6,2500,1,3
61,2,4000,1,6
34,8,500,2,2
51,10,,2,1
49,3,,2,1
30,3,,2,3
72,3,350,1,6
71,3,,2,4
38,3,1200,2,3
64,0,,2,3
38,3,2000,1,1
49,10,,2,3
64,7,,2,1
39,6,14000,1,5
31,8,8000,2,5
54,0,,1,1
27,3,,2,6
45,8,8000,1,3
40,6,3000,2,6
54,0,600,1,5
32,6,855,2,6
50,3,2400,2,1
33,8,13000,2,4
36,8,16000,2,4
34,3,1200,1,1
72,2,,2,2
45,8,,2,2
35,6,7000,1,4
35,8,15000,2,2
29,8,9000,2,3
44,3,2500,2,1
26,6,1000,1,5
32,2,30000,1,3
46,6,15000,1,3
49,3,4000,2,1
63,3,,2,2
78,2,2000,1,2
43,8,10000,2,6
50,3,9000,1,6
59,2,800,2,5
48,6,15000,1,2
23,8,5500,1,5
70,3,,1,6
18,6,1000,2,4
80,0,,2,2
39,7,9000,2,2
19,6,1500,1,1
49,8,27000,1,4
67,2,,2,3
36,3,3500,1,1
34,3,2000,1,3
51,2,6000,1,3
33,6,15000,1,3
38,7,25000,1,3
32,6,20000,1,3
22,3,1600,2,2
48,3,2000,1,5
52,2,1500,1,5
29,6,,2,3
27,8,10000,2,6
31,8,17000,1,2
34,8,1500,2,2
79,2,,2,5
68,0,1800,1,1
21,8,,1,5
65,8,4000,1,1
55,7,6000,1,1
48,7,3000,2,1
67,2,,1,5
43,3,3500,2,3
52,3,4000,2,1
40,3,2000,1,6
36,8,22000,1,1
48,2,,1,6
71,6,,1,6
38,3,2000,1,5
48,3,400,2,2
39,2,4000,1,2
68,2,,1,2
32,6,2300,1,3
27,3,1200,1,2
34,8,20000,1,4
25,6,,1,2
37,2,,2,5
55,3,,2,5
52,3,5000,1,2
50,6,8800,1,3
51,6,5000,2,1
50,3,1000,2,6
34,3,8000,2,6
72,6,,2,5
19,2,1000,1,5
52,2,1800,1,1
37,6,,2,2
45,8,15000,1,3
68,8,20000,1,1
35,2,,2,5
39,8,4500,2,2
45,8,7500,2,6
73,2,300,2,3
22,6,,2,2
56,3,,2,5
18,6,840,1,1
28,8,1500,2,6
65,6,,1,5
39,2,,2,3
30,3,2000,1,3
59,2,1500,1,6
42,8,5000,1,5
55,8,30000,1,6
58,3,6000,1,6
31,8,7300,2,3
29,3,,1,4
35,6,2500,2,3
43,0,,2,5
31,3,2000,1,3
44,7,5200,2,6
55,3,1000,1,2
73,7,,2,5
65,6,,1,6
24,3,,2,6
26,2,2400,2,3
51,3,3200,1,3
58,2,,1,1
31,8,2000,1,5
39,3,2300,2,2
35,6,1200,2,3
58,3,1500,2,5
22,3,0,2,1
43,6,5500,2,5
27,8,19000,1,3
62,6,7000,2,1
45,8,8000,1,1
40,3,,2,5
70,3,,2,2
50,3,1000,1,1
43,3,2000,1,1
21,6,2900,1,2
44,3,,2,2
70,0,,2,6
52,3,1400,1,3
29,3,3000,2,2
66,2,1500,1,3
82,2,,2,1
57,2,2300,1,3
48,3,1600,2,3
45,8,16000,2,3
59,3,1000,2,1
30,3,1500,1,6
22,3,2700,2,2
66,0,,2,4
41,8,17000,2,2
27,3,1000,2,6
55,6,,2,6
27,3,4000,1,4
55,0,800,2,1
31,3,6000,2,1
73,2,,1,5
54,2,2000,1,6
30,3,,2,2
67,6,,2,3
28,6,1000,2,3
64,3,10000,1,3
34,6,7000,1,6
26,6,8000,2,2
66,10,,2,5
53,5,1000,1,2
27,6,1000,2,3
23,6,18000,1,2
32,6,,2,6
40,7,10000,1,6
48,5,2000,1,2
20,8,7500,1,3
18,6,200,2,1
41,3,1800,1,5
31,8,6000,1,2
84,2,,1,6
39,6,6200,2,6
37,3,,2,2
33,8,3000,2,5
64,2,1200,1,5
29,7,1500,1,5
21,2,,1,3
56,3,1000,2,6
23,6,11000,1,2
37,8,25000,1,3
51,3,5000,1,3
56,6,1800,1,5
19,6,2300,1,1
83,2,,1,4
29,8,1500,1,2
33,8,32000,1,1
20,6,,2,5
28,6,2800,2,1
31,2,100,2,6
46,2,,1,2
70,2,,1,5
64,8,5000,1,3
43,3,3300,1,1
29,2,2000,1,1
30,8,25000,1,6
34,3,,2,4
40,8,,2,1
63,2,,2,5
67,2,800,1,3
44,3,3000,1,2
24,2,1200,1,5
48,3,4000,1,1
32,3,,2,1
37,3,,2,3
29,6,7000,2,3
74,3,1500,1,6
27,8,,2,3
28,6,1500,2,3
46,3,3000,1,6
49,3,1000,2,5
57,2,,2,5
27,3,1000,2,5
31,3,150,2,5
73,3,,1,1
47,6,18000,1,1
24,8,14000,1,6
64,2,1300,2,6
48,8,3500,2,3
34,6,12000,1,2
55,3,400,2,5
61,0,1000,2,2
72,2,1000,2,2
38,8,20000,2,2
49,3,,2,1
67,6,12000,1,3
25,8,1000,2,6
29,3,1800,1,2
27,3,600,2,1
59,3,,1,2
36,2,,2,6
42,3,1000,2,3
30,8,,2,5
45,3,2500,1,6
45,8,8000,2,3
48,6,,2,1
59,6,1500,2,5
86,2,,1,4
28,3,600,2,5
55,3,,2,5
61,3,,2,2
43,8,3000,2,2
18,3,600,2,6
22,3,,1,1
69,2,,2,4
52,8,12000,1,2
73,5,,2,1
65,2,,2,6
44,8,8000,1,3
39,6,2500,1,1
51,8,5000,2,2
65,6,,2,6
39,2,,2,1
49,2,900,1,6
49,8,50000,1,2
51,2,4200,2,6
20,8,900,2,3
50,8,600,1,5
39,8,8000,1,5
31,8,,2,1
43,9,15000,1,1
54,6,,1,4
58,3,,1,2
50,3,,2,6
64,2,,2,3
53,3,,2,5
31,8,2000,2,5
38,3,1200,2,3
72,0,,2,5
54,3,1100,2,5
89,0,,1,5
70,2,,2,2
28,6,8600,2,3
21,8,600,2,6
32,3,25000,1,4
61,2,,1,5
55,6,4000,1,5
31,6,300,2,6
35,3,1800,1,5
35,3,2600,2,2
34,2,750,2,6
32,8,6000,2,1
48,3,1500,2,1
44,6,0,2,2
23,8,8500,2,3
20,7,,2,1
50,3,600,2,5
62,6,1500,2,3
30,6,400,1,5
37,3,2500,1,5
55,6,15000,1,3
60,3,2200,1,5
31,3,,2,5
31,3,3000,1,6
50,8,10000,1,3
44,8,10000,2,2
49,2,900,1,5
18,6,500,2,5
71,2,,2,4
33,8,1800,1,3
74,8,,2,5
44,3,3000,2,1
72,2,,2,5
47,8,16000,2,6
36,3,3000,1,5
63,8,,2,2
49,0,1000,2,6
52,3,2500,1,2
67,2,1500,1,3
54,6,1200,2,5
53,2,900,1,6
37,3,2000,1,1
24,3,,2,3
44,3,1000,1,4
31,3,1800,1,3
30,8,1000,2,2
64,8,,2,3
50,6,8000,1,5
31,6,800,1,2
39,0,1000,1,6
19,6,1000,2,6
69,8,,2,5
50,3,,2,6
46,8,16000,2,5
27,7,2500,1,2
50,8,2400,2,1
62,2,1500,2,2
21,2,1600,1,1
45,8,,2,5
24,8,7600,2,2
31,3,200,2,6
34,3,,2,5
47,3,,2,3
70,3,7000,1,1
40,8,1800,2,1
56,8,4000,1,4
21,8,,2,1
21,8,,2,1
64,0,1000,2,5
79,2,,2,3
33,8,10000,1,5
32,0,,2,6
38,2,1600,2,3
42,2,1800,1,6
73,3,,1,1
47,3,1800,2,2
52,2,2500,1,3
44,8,6000,2,6
43,2,,2,2
22,8,,2,3
24,3,2500,2,2
60,6,1500,1,2
73,2,,2,4
50,11,12000,2,1
63,3,1500,1,3
18,6,,1,1
38,6,1500,1,5
41,6,2500,2,1
53,3,,2,5
55,3,1500,2,6
35,8,4500,1,6
33,6,3000,2,1
54,3,3500,1,6
31,6,2000,1,1
36,8,,2,4
33,8,16000,1,1
46,5,,1,2
54,2,500,2,5
30,3,2000,2,2
23,6,800,1,2
68,3,,2,6
86,8,,2,6
46,2,8000,1,6
22,8,4800,1,6
35,8,,2,1
48,3,1500,2,1
69,2,,2,6
82,3,,1,6
66,2,,1,6
52,3,2800,1,1
60,6,,2,3
45,8,,2,6
58,8,3000,2,6
63,2,,2,4
47,2,1800,2,6
54,6,1200,1,5
45,3,2000,1,2
60,2,,2,6
33,3,300,2,2
40,6,,2,3
25,3,1200,1,5
45,8,2300,1,2
72,8,,2,4
38,2,800,1,6
61,2,850,2,6
35,6,1000,2,6
31,6,1600,2,1
35,2,,2,6
18,6,1300,2,1
70,2,,2,6
42,7,2000,2,6
55,7,6000,2,6
33,3,,2,3
20,6,,1,5
34,8,2200,2,6
37,2,900,2,3
44,8,11000,1,3
63,2,,2,6
47,6,,2,4
31,3,300,2,5
44,6,,2,6
72,3,,1,6
33,6,4900,1,1
32,3,2500,1,6
38,9,14000,2,1
41,7,20000,1,6
80,6,,2,1
54,0,1000,1,3
48,3,2500,1,5
66,2,,2,4
68,8,,2,4
22,3,10000,1,1
40,3,2500,1,1
67,2,,2,1
66,8,8000,1,6
60,3,2000,2,1
38,3,1500,2,1
47,0,1000,1,4
51,8,45000,1,2
45,6,4000,1,3
33,7,1000,2,4
40,2,4000,1,5
45,2,,2,1
27,8,2100,2,5
25,6,800,1,3
48,6,3800,1,1
40,6,2300,2,1
22,8,7000,2,4
37,8,6000,2,2
30,2,2800,1,2
36,5,2500,1,2
27,3,,2,6
33,8,4000,1,6
42,8,5000,1,1
33,3,3000,1,5
35,8,2000,2,6
59,6,2400,1,3
23,6,2000,2,2
60,8,,2,4
76,2,,2,2
69,2,1000,2,2
79,2,,2,3
49,2,,1,6
58,3,1800,1,3
33,6,,2,3
20,8,,2,2
29,8,7000,2,6
35,8,400,2,6
40,3,20000,1,3
40,2,5800,1,1
33,3,1800,2,3
34,10,20000,1,2
24,6,12000,1,6
34,6,,2,2
49,8,2000,2,2
40,6,2500,1,3
24,6,,2,1
31,6,1000,2,1
37,3,1250,2,2
40,3,1500,2,6
27,8,12000,1,2
46,8,20000,2,6
51,8,10000,1,1
60,3,,2,6
25,3,1750,2,2
61,2,0,1,6
54,6,,1,4
22,6,,2,3
38,6,,1,1
47,8,20000,1,3
19,3,1700,1,2
52,2,4500,1,6
31,6,,2,1
58,6,2500,1,4
60,3,100,2,5
54,2,1200,2,5
47,2,1500,1,1
36,3,2500,2,2
30,6,34200,1,6
37,0,3000,1,6
35,2,,2,5
45,3,1600,1,3
24,6,14000,1,6
88,2,,1,2
50,3,,2,6
36,3,1200,1,6
33,3,,2,3
55,7,,2,3
31,3,,2,6
25,3,600,1,6
67,2,,1,3
55,2,2100,2,1
44,6,600,2,3
50,8,2000,2,5
67,2,,2,5
63,7,,1,2
61,2,3000,2,6
63,8,1800,2,2
41,11,52000,2,2
36,2,,2,3
35,0,500,1,3
26,8,,2,3
56,3,2500,1,5
35,6,,2,6
24,3,3700,1,1
58,6,30000,2,1
36,8,7000,2,2
61,2,2200,1,5
29,8,21000,1,1
32,8,26000,1,4
21,6,4000,1,3
54,6,6300,1,5
26,6,,2,3
53,3,,2,2
51,3,,2,3
63,0,450,1,6
29,6,2300,2,2
45,8,7500,2,6
48,2,1800,1,1
37,5,1500,1,5
60,2,8000,2,4
29,2,,2,6
49,8,15000,1,2
34,9,20000,2,5
68,3,,2,3
73,2,2500,1,3
70,8,,2,6
48,3,800,1,2
41,8,12000,1,1
18,6,,2,1
24,3,,1,1
26,2,1200,1,6
60,6,4500,2,4
38,3,7000,1,6
25,8,,1,3
48,2,600,2,2
72,8,12000,2,3
26,6,,2,1
37,8,6000,1,2
29,3,4000,1,6
36,3,1600,2,1
28,8,30000,1,2
62,2,1000,2,5
69,0,,2,2
18,3,,1,4
28,2,2000,1,5
22,6,3000,1,3
80,2,300,1,6
51,8,25000,1,5
51,8,2700,2,1
38,2,1500,2,6
85,0,,2,6
73,6,,1,2
50,3,,2,2
45,2,,1,5
41,2,600,2,3
77,2,,1,1
89,0,,2,3
33,2,1200,2,5
43,10,30000,2,2
67,2,1000,2,5
47,8,11500,1,6
44,5,,2,6
40,8,17000,2,3
50,6,3000,2,1
19,6,2000,2,3
63,8,500,2,5
66,2,600,2,3
69,3,,1,5
20,8,,2,6
49,3,10000,1,5
65,3,300,2,4
51,8,,1,5
42,3,20000,1,3
34,3,,2,3
82,2,,2,3
28,8,4000,2,2
50,8,,2,4
65,2,1000,1,6
31,3,2800,2,1
35,6,2000,1,1
48,8,1700,2,1
57,2,300,2,5
27,6,,2,5
31,6,1500,2,1
47,6,1000,1,2
39,6,7000,1,5
30,2,,2,5
45,3,1500,2,5
32,0,900,2,5
53,8,6000,1,1
39,6,3000,2,6
48,2,,2,5
56,7,,1,5
82,5,,2,3
42,3,,2,2
69,2,,1,6
58,0,2000,1,3
37,6,2350,2,1
40,3,16000,1,2
41,3,,2,5
49,8,15,2,6
36,3,1200,1,3
30,0,,2,6
79,0,,2,3
22,6,1800,1,3
45,2,,2,3
41,8,7000,2,3
29,8,7400,2,6
38,3,2500,1,3
60,3,,2,1
54,2,1700,2,5
42,2,2500,1,1
19,6,,2,4
55,8,5500,1,1
42,3,15000,1,1
63,2,,2,2
71,3,,2,1
30,8,20000,2,5
49,2,1000,2,5
30,3,2000,1,2
32,8,18000,2,5
33,2,,2,5
18,6,,2,6
81,0,,1,3
70,2,,1,1
37,3,6000,1,1
27,8,3500,2,5
62,2,600,2,1
41,8,3000,2,1
32,2,,2,5
59,6,21000,1,5
71,0,,2,1
41,8,6500,1,3
22,8,,2,5
36,6,12000,2,2
34,6,12000,1,1
66,2,,2,3
55,2,,2,2
33,2,1000,1,2
36,8,25000,1,3
28,8,16000,1,5
29,8,,2,1
53,8,,2,5
68,7,,2,6
29,6,,1,5
41,6,1000,2,3
57,2,,2,6
22,6,2000,1,3
76,8,,2,4
30,8,3500,1,2
38,8,7000,2,6
28,3,300,2,2
40,2,1500,1,5
54,9,20000,1,6
38,8,3200,1,1
39,6,2200,2,3
40,8,40000,1,2
30,8,500,2,3
20,6,,1,3
25,3,850,2,2
53,6,4000,2,3
43,3,600,2,2
65,8,23000,2,6
53,2,1400,2,5
52,2,3000,1,2
41,6,8000,1,5
39,3,4800,1,3
55,2,3000,1,3
75,2,,2,3
42,3,500,1,5
25,8,35000,1,6
34,3,1500,1,1
31,6,,2,4
30,3,,2,5
34,6,8000,2,1
29,8,5000,2,5
49,6,500,2,6
53,8,2500,1,2
53,2,800,1,1
34,10,11000,1,1
35,6,10000,2,1
84,3,,1,3
40,6,2000,1,2
33,8,,1,6
78,2,,1,6
50,2,,2,6
26,3,2000,1,2
40,8,15000,2,1
39,6,2700,1,1
61,3,,2,5
49,0,200,2,6
76,1,1000,2,1
82,6,,2,2
26,6,2800,1,5
26,8,1000,1,4
21,8,3400,1,6
44,8,12000,1,4
64,3,300,2,1
38,8,12000,1,4
44,2,1200,2,2
46,3,2500,1,2
57,2,1500,1,1
49,3,1000,2,3
66,2,,2,5
30,8,1500,2,4
29,2,400,2,6
40,3,2800,1,1
73,2,0,1,5
44,3,,2,6
51,6,4200,1,2
58,3,1000,1,5
49,2,,2,5
74,2,,2,6
58,2,,2,2
52,6,5000,2,6
34,6,7000,1,6
51,3,1500,1,5
